,preflop_action,board_flop,board_turn,board_river,aggressor_position,postflop_action,evaluation_at,available_moves,pot_size,hero_position,holding,correct_decision
6242,UTG/2.0bb/BB/call,JsKs5d,8h,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/8h/OOP_CHECK/IP_BET_3/OOP_CALL/dealcards/3c/OOP_CHECK,River,"['Check', 'Bet 8']",10,IP,AhQd,Check
6243,SB/3.0bb/BB/call,Qc8cAc,3c,Qh,OOP,OOP_CHECK/IP_BET_2/OOP_RAISE_9/IP_CALL/dealcards/3c/OOP_CHECK,Turn,"['Check', 'Bet 18', 'Bet 30']",24,IP,Ad9c,Check
6244,HJ/2.0bb/BB/call,Td6h4h,Kh,2h,OOP,OOP_CHECK/IP_CHECK/dealcards/Kh/OOP_CHECK/IP_BET_3/OOP_RAISE_10/IP_CALL/dealcards/2h/OOP_CHECK,River,"['Check', 'Bet 18']",24,IP,Ac9d,Bet 18
6245,BTN/2.5bb/BB/call,TsKcAh,2d,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/2d/OOP_BET_4/IP_RAISE_13/OOP_CALL/dealcards/3c/OOP_BET_16,River,"['Fold', 'Call', 'Raise 58', 'Raise 84']",47,IP,Ad3h,Call
6246,SB/3.0bb/BB/call,AcKs7d,2h,7c,OOP,OOP_CHECK/IP_CHECK/dealcards/2h/OOP_BET_5/IP_CALL/dealcards/7c/OOP_CHECK/IP_BET_12,River,"['Fold', 'Call', 'Raise 38']",28,OOP,Ah7s,Raise 38
6247,UTG/2.0bb/BTN/call,Th4c5d,Kd,Qh,OOP,OOP_BET_4/IP_CALL/dealcards/Kd/OOP_CHECK,Turn,"['Check', 'Bet 10', 'Bet 16']",13,IP,7d7c,Check
6248,BTN/2.5bb/BB/call,QcAdKh,3d,Jc,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/3d/OOP_CHECK/IP_BET_16/OOP_CALL/dealcards/Jc/OOP_CHECK/IP_BET_34,River,"['Fold', 'Call', 'Raise 77']",75,OOP,4s3s,Fold
6249,HJ/2.0bb/BB/call,7d6c4h,Qs,5s,OOP,OOP_CHECK/IP_BET_1/OOP_CALL/dealcards/Qs/OOP_BET_8/IP_CALL/dealcards/5s/OOP_BET_11/IP_RAISE_40,River,"['Fold', 'Call', 'Raise 89']",72,OOP,JdTs,Fold
6250,UTG/2.0bb/HJ/6.5bb/UTG/call,Ks7h2d,Jc,7c,IP,OOP_CHECK/IP_BET_7/OOP_RAISE_16/IP_CALL/dealcards/Jc/OOP_BET_28/IP_RAISE_77,Turn,"['Fold', 'Call']",151,OOP,AhQh,Fold
6251,CO/2.3bb/BB/call,9s7s4c,6s,Ks,OOP,OOP_CHECK/IP_CHECK/dealcards/6s/OOP_CHECK/IP_BET_4/OOP_RAISE_13/IP_CALL/dealcards/Ks/OOP_CHECK,River,"['Check', 'Bet 23']",31,IP,AsJs,Check
6252,SB/3.0bb/BB/call,5c5dAh,5s,Td,OOP,OOP_CHECK/IP_BET_2/OOP_RAISE_9/IP_CALL/dealcards/5s/OOP_CHECK/IP_BET_30/OOP_RAISE_88,Turn,"['Fold', 'Call']",142,IP,As8h,Call
6253,CO/2.3bb/BB/call,JcJh4s,Ts,Qc,OOP,OOP_CHECK/IP_CHECK/dealcards/Ts/OOP_CHECK/IP_BET_6/OOP_CALL/dealcards/Qc/OOP_BET_9,River,"['Fold', 'Call', 'Raise 32']",26,IP,KsKh,Call
6254,BTN/2.5bb/BB/call,JcJh4s,Ts,Qc,OOP,OOP_CHECK/IP_CHECK/dealcards/Ts/OOP_CHECK/IP_BET_6/OOP_RAISE_17/IP_CALL/dealcards/Qc/OOP_CHECK,River,"['Check', 'Bet 29']",39,IP,Tc8d,Check
6255,SB/3.0bb/BB/call,Th3s2d,Ac,Qc,OOP,OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/Ac/OOP_CHECK/IP_BET_12/OOP_CALL/dealcards/Qc/OOP_CHECK,River,"['Check', 'Bet 30']",35,IP,8s7d,Bet 30
6256,HJ/2.0bb/BB/call,7d6c4h,5h,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/5h/OOP_BET_5/IP_RAISE_14,Turn,"['Fold', 'Call', 'Raise 35']",23,OOP,Kd2d,Fold
6257,BTN/2.5bb/BB/call,TsKcAh,2d,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/2d/OOP_CHECK,Turn,"['Check', 'Bet 4', 'Bet 6']",5,IP,8h8d,Check
6258,SB/3.0bb/BB/call,6s8d7c,9s,3c,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/9s/OOP_CHECK/IP_BET_8/OOP_RAISE_25,Turn,"['Fold', 'Call', 'Raise 65', 'Raise 95']",43,IP,Qh2h,Fold
6259,SB/3.0bb/BB/call,TsKcAh,2d,3c,OOP,OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/2d/OOP_CHECK,Turn,"['Check', 'Bet 12', 'Bet 20']",16,IP,2s2c,Bet 20
6260,CO/2.3bb/BB/call,Ks7h2d,6h,4h,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/6h/OOP_CHECK/IP_BET_7/OOP_CALL/dealcards/4h/OOP_CHECK,River,"['Check', 'Bet 17']",21,IP,As9c,Check
6261,SB/3.0bb/BB/10.0bb/SB/call,8h8cTc,As,4d,IP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/As/OOP_CHECK,Turn,"['Check', 'Bet 17', 'Bet 31']",28,IP,7s6s,Bet 17
6262,BTN/2.5bb/BB/call,9dTs8s,5d,2d,OOP,OOP_CHECK/IP_CHECK/dealcards/5d/OOP_CHECK/IP_BET_6/OOP_CALL/dealcards/2d/OOP_CHECK,River,"['Check', 'Bet 13']",17,IP,Ah9c,Check
6263,HJ/2.0bb/BB/call,9dTs8s,Jh,Ac,OOP,OOP_CHECK/IP_BET_1/OOP_CALL/dealcards/Jh/OOP_BET_5/IP_RAISE_16,Turn,"['Fold', 'Call', 'Raise 41']",27,OOP,AsQd,Call
6264,CO/2.3bb/BB/call,AcKs7d,Kd,Ah,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/Kd/OOP_CHECK/IP_BET_16/OOP_CALL/dealcards/Ah/OOP_CHECK/IP_BET_34,River,"['Fold', 'Call', 'Raise 77']",75,OOP,AsTd,Call
6265,HJ/2.0bb/BB/call,Qc8cAc,3c,Qh,OOP,OOP_CHECK/IP_BET_1/OOP_CALL/dealcards/3c/OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/Qh/OOP_CHECK/IP_BET_12,River,"['Fold', 'Call', 'Raise 38']",27,OOP,KsJd,Fold
6266,BTN/2.5bb/BB/call,5c5dAh,3h,Kh,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/3h/OOP_CHECK/IP_BET_11/OOP_CALL/dealcards/Kh/OOP_CHECK,River,"['Check', 'Bet 23']",29,IP,Jd8d,Check
6267,BTN/2.5bb/BB/call,9dTs8s,Jh,Ac,OOP,OOP_CHECK/IP_BET_2/OOP_RAISE_8/IP_CALL/dealcards/Jh/OOP_CHECK,Turn,"['Check', 'Bet 16', 'Bet 26']",21,IP,Td8h,Check
6268,HJ/2.0bb/BB/call,Th3s2d,Ac,3h,OOP,OOP_CHECK/IP_CHECK/dealcards/Ac/OOP_CHECK/IP_CHECK/dealcards/3h/OOP_BET_2,River,"['Fold', 'Call', 'Raise 7']",6,IP,TdTc,Raise 7
6269,SB/3.0bb/BB/call,JsKs5d,8h,5c,OOP,OOP_CHECK/IP_CHECK/dealcards/8h/OOP_CHECK,Turn,"['Check', 'Bet 5', 'Bet 8']",6,IP,Ah8c,Check
6270,SB/3.0bb/BB/call,Qc8cAc,3c,Ah,OOP,OOP_CHECK/IP_CHECK/dealcards/3c/OOP_CHECK/IP_CHECK/dealcards/Ah/OOP_CHECK,River,"['Check', 'Bet 5']",6,IP,8d6d,Check
6271,SB/3.0bb/BB/call,Th3s2d,Ac,Qc,OOP,OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/Ac/OOP_CHECK/IP_CHECK/dealcards/Qc/OOP_CHECK/IP_BET_12,River,"['Fold', 'Call', 'Raise 38']",28,OOP,Ad3d,Raise 38
6272,HJ/2.0bb/BB/call,Js8d3c,9d,2h,OOP,OOP_CHECK/IP_BET_1/OOP_CALL/dealcards/9d/OOP_BET_8/IP_RAISE_23/OOP_CALL/dealcards/2h/OOP_BET_26/IP_RAISE_74,River,"['Fold', 'Call']",151,OOP,7d5d,Fold
6273,UTG/2.0bb/BB/call,7d6c4h,Qs,5s,OOP,OOP_CHECK/IP_BET_1/OOP_CALL/dealcards/Qs/OOP_CHECK/IP_CHECK/dealcards/5s/OOP_BET_3/IP_RAISE_11,River,"['Fold', 'Call', 'Raise 29']",20,OOP,3h3c,Call
6274,SB/3.0bb/BB/call,QcAdKh,Ts,Ac,OOP,OOP_BET_5/IP_RAISE_16/OOP_CALL/dealcards/Ts/OOP_CHECK,Turn,"['Check', 'Bet 29', 'Bet 48']",38,IP,Ac4s,Check
6275,CO/2.3bb/BB/call,Ad8d3d,9d,Td,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/9d/OOP_CHECK/IP_CHECK/dealcards/Td/OOP_CHECK/IP_BET_7/OOP_RAISE_22,River,"['Fold', 'Call', 'Raise 57', 'Raise 95']",38,IP,Qd6d,Call
6276,CO/2.3bb/BTN/call,7d6c4h,5h,Kh,OOP,OOP_CHECK/IP_CHECK/dealcards/5h/OOP_CHECK/IP_CHECK/dealcards/Kh/OOP_CHECK,River,"['Check', 'Bet 5']",6,IP,9s9c,Check
6277,HJ/2.0bb/BTN/call,6s8d7c,Js,Ac,OOP,OOP_CHECK/IP_CHECK/dealcards/Js/OOP_CHECK/IP_BET_4,Turn,"['Fold', 'Call', 'Raise 13']",9,OOP,AsTh,Fold
6278,BTN/2.5bb/BB/call,Js8d3c,9d,2h,OOP,OOP_BET_2/IP_CALL/dealcards/9d/OOP_CHECK,Turn,"['Check', 'Bet 7', 'Bet 11']",9,IP,9c6c,Check
6279,HJ/2.0bb/BB/call,5c2d3h,Ad,Td,OOP,OOP_CHECK/IP_BET_1/OOP_CALL/dealcards/Ad/OOP_CHECK,Turn,"['Check', 'Bet 5', 'Bet 8']",6,IP,7s7d,Check
6280,UTG/2.0bb/BB/call,Js8d3c,9d,Jd,OOP,OOP_BET_1/IP_CALL/dealcards/9d/OOP_BET_5/IP_RAISE_16,Turn,"['Fold', 'Call', 'Raise 41']",27,OOP,Qd4d,Raise 41
6281,SB/3.0bb/BB/call,4s4h3h,9s,Kc,OOP,OOP_CHECK/IP_CHECK/dealcards/9s/OOP_BET_8/IP_CALL/dealcards/Kc/OOP_CHECK/IP_BET_17/OOP_RAISE_54,River,"['Fold', 'Call', 'Raise 89']",93,IP,9h6h,Fold
6282,UTG/2.0bb/BTN/call,8h8cTc,As,Qd,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/As/OOP_BET_7,Turn,"['Fold', 'Call', 'Raise 22']",16,IP,6s6c,Fold
6283,UTG/2.0bb/BTN/call,JsKs5d,Jd,4d,OOP,OOP_CHECK/IP_CHECK/dealcards/Jd/OOP_BET_4/IP_RAISE_13,Turn,"['Fold', 'Call', 'Raise 33']",22,OOP,AdKh,Call
6284,UTG/2.0bb/HJ/6.5bb/UTG/call,Js8d3c,Kd,Ah,IP,OOP_BET_3/IP_RAISE_10/OOP_CALL/dealcards/Kd/OOP_CHECK/IP_BET_37/OOP_RAISE_83,Turn,"['Fold', 'Call']",154,IP,KsKc,Call
6285,CO/2.3bb/BB/call,JsKs5d,8h,3c,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/8h/OOP_CHECK/IP_BET_10/OOP_RAISE_32/IP_CALL/dealcards/3c/OOP_CHECK,River,"['Check', 'Raise 61']",73,IP,8s8c,Raise 61
6286,HJ/2.0bb/BB/call,Qc8cAc,Kh,Jh,OOP,OOP_BET_1/IP_CALL/dealcards/Kh/OOP_CHECK/IP_BET_8,Turn,"['Fold', 'Call', 'Raise 23']",14,OOP,6c4c,Call
6287,SB/3.0bb/BB/call,JsKs5d,8h,5c,OOP,OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/8h/OOP_CHECK/IP_BET_12/OOP_CALL/dealcards/5c/OOP_CHECK/IP_BET_30/OOP_RAISE_80,River,"['Fold', 'Call']",145,IP,QsJh,Fold
6288,SB/3.0bb/BB/call,6s8d7c,Js,2s,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/Js/OOP_CHECK/IP_BET_8/OOP_CALL/dealcards/2s/OOP_CHECK,River,"['Check', 'Bet 20']",24,IP,Ac2c,Check
6289,SB/3.0bb/BB/call,JsKs5d,8h,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/8h/OOP_BET_5,Turn,"['Fold', 'Call', 'Raise 16']",11,IP,8s7s,Raise 16
6290,CO/2.3bb/BTN/call,Td6h4h,Kh,8c,OOP,OOP_CHECK/IP_CHECK/dealcards/Kh/OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/8c/OOP_CHECK/IP_BET_12,River,"['Fold', 'Call', 'Raise 38']",28,OOP,QcTh,Call
6291,HJ/2.0bb/BTN/call,9s7s4c,Ah,Ts,OOP,OOP_CHECK/IP_CHECK/dealcards/Ah/OOP_BET_4/IP_CALL/dealcards/Ts/OOP_BET_7/IP_RAISE_25,River,"['Fold', 'Call', 'Raise 67', 'Raise 94']",45,OOP,KdJh,Fold
6292,HJ/2.0bb/BTN/7.5bb/HJ/call,7d6c4h,5h,Kh,IP,OOP_CHECK/IP_BET_8/OOP_CALL/dealcards/5h/OOP_CHECK/IP_BET_19/OOP_RAISE_42,Turn,"['Fold', 'Call', 'Raise 84']",93,IP,Ac2c,Fold
6293,CO/2.3bb/BB/13.5bb/CO/call,Ad8d3d,Kh,5d,OOP,OOP_CHECK/IP_CHECK/dealcards/Kh/OOP_CHECK,Turn,"['Check', 'Bet 16', 'Bet 30']",27,IP,AsTs,Check
6294,SB/3.0bb/BB/call,Td6h4h,8d,2c,OOP,OOP_CHECK/IP_BET_5/OOP_CALL/dealcards/8d/OOP_CHECK/IP_BET_12/OOP_RAISE_38,Turn,"['Fold', 'Call', 'Raise 92']",66,IP,Ts9d,Call
6295,UTG/2.0bb/CO/6.5bb/UTG/call,9s7s4c,6s,3c,IP,OOP_CHECK/IP_BET_3/OOP_RAISE_10,Flop,"['Fold', 'Call', 'Raise 21']",27,IP,As3s,Call
6296,SB/3.0bb/BB/call,9s7s4c,6s,Ks,OOP,OOP_CHECK/IP_CHECK/dealcards/6s/OOP_BET_5/IP_RAISE_16/OOP_CALL/dealcards/Ks/OOP_CHECK/IP_BET_29/OOP_RAISE_81,River,"['Fold', 'Call']",148,IP,3s3d,Fold
6297,SB/3.0bb/BB/call,4s4h3h,9s,Kc,OOP,OOP_CHECK/IP_BET_2,Flop,"['Fold', 'Call', 'Raise 7']",8,OOP,6s6c,Call
6298,HJ/2.0bb/BB/call,4s4h3h,9s,Js,OOP,OOP_CHECK/IP_BET_1/OOP_RAISE_5/IP_CALL/dealcards/9s/OOP_CHECK/IP_BET_11/OOP_RAISE_35/IP_CALL/dealcards/Js/OOP_CHECK,River,"['Check', 'Raise 58']",79,IP,AdKd,Raise 58
6299,HJ/2.0bb/BB/call,Jh4h5s,2d,Ac,OOP,OOP_CHECK/IP_BET_3/OOP_RAISE_10/IP_CALL/dealcards/2d/OOP_CHECK,Turn,"['Check', 'Bet 18', 'Bet 30']",24,IP,Kd7d,Bet 18
6300,CO/2.3bb/BB/call,Th3s2d,5d,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/5d/OOP_CHECK/IP_BET_4/OOP_RAISE_13,Turn,"['Fold', 'Call', 'Raise 33']",22,IP,Qc9c,Fold
6301,SB/3.0bb/BB/call,Ad8d3d,9d,Td,OOP,OOP_CHECK/IP_CHECK/dealcards/9d/OOP_CHECK/IP_CHECK/dealcards/Td/OOP_BET_3,River,"['Fold', 'Call', 'Raise 11']",9,IP,Jd9s,Raise 11
6302,CO/2.3bb/BTN/call,QcAdKh,Ts,Ac,OOP,OOP_CHECK/IP_CHECK/dealcards/Ts/OOP_BET_5/IP_RAISE_16/OOP_CALL/dealcards/Ac/OOP_BET_19/IP_RAISE_81,River,"['Fold', 'Call']",138,OOP,Jh8h,Call
6303,SB/3.0bb/BB/call,Ad9h8h,3s,2c,OOP,OOP_CHECK/IP_CHECK/dealcards/3s/OOP_CHECK,Turn,"['Check', 'Bet 5', 'Bet 8']",6,IP,KhQc,Check
6304,HJ/2.0bb/BTN/call,8h8cTc,Kc,2h,OOP,OOP_CHECK/IP_CHECK/dealcards/Kc/OOP_BET_4/IP_CALL/dealcards/2h/OOP_CHECK/IP_BET_10,River,"['Fold', 'Call', 'Raise 32']",23,OOP,Ac3c,Raise 32
6305,CO/2.3bb/BB/call,7d6c4h,5h,Kh,OOP,OOP_CHECK/IP_CHECK/dealcards/5h/OOP_CHECK/IP_BET_6/OOP_CALL/dealcards/Kh/OOP_CHECK,River,"['Check', 'Bet 13']",17,IP,JsTh,Bet 13
6306,CO/2.3bb/BTN/call,Js8d3c,Kd,Ah,OOP,OOP_CHECK/IP_CHECK/dealcards/Kd/OOP_CHECK/IP_BET_5/OOP_RAISE_16/IP_CALL/dealcards/Ah/OOP_CHECK/IP_BET_29,River,"['Fold', 'Call', 'Raise 81']",67,OOP,QsJc,Fold
6307,UTG/2.0bb/BB/call,7d6c4h,5h,Kh,OOP,OOP_CHECK/IP_CHECK/dealcards/5h/OOP_CHECK/IP_BET_3,Turn,"['Fold', 'Call', 'Raise 10']",7,OOP,KhJh,Raise 10
6308,HJ/2.0bb/BTN/call,Ad8d3d,Kh,Jc,OOP,OOP_CHECK/IP_CHECK/dealcards/Kh/OOP_BET_6/IP_CALL/dealcards/Jc/OOP_BET_9/IP_RAISE_32,River,"['Fold', 'Call', 'Raise 92']",58,OOP,JsJd,Call
6309,BTN/2.5bb/BB/call,TsKcAh,2d,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/2d/OOP_CHECK/IP_BET_6/OOP_CALL/dealcards/3c/OOP_BET_9,River,"['Fold', 'Call', 'Raise 32']",26,IP,Ac6h,Call
6310,HJ/2.0bb/SB/11.0bb/HJ/call,JcJh4s,4d,As,IP,OOP_CHECK/IP_CHECK/dealcards/4d/OOP_BET_14/IP_RAISE_31,Turn,"['Fold', 'Call', 'Raise 59', 'Raise 89']",68,OOP,Ac2c,Fold
6311,HJ/2.0bb/BTN/call,5c5dAh,3h,Kh,OOP,OOP_CHECK/IP_CHECK/dealcards/3h/OOP_BET_6/IP_CALL/dealcards/Kh/OOP_CHECK/IP_BET_13,River,"['Fold', 'Call', 'Raise 41']",30,OOP,AdQh,Raise 41
6312,HJ/2.0bb/BTN/call,Jh4h5s,Kh,6h,OOP,OOP_CHECK/IP_CHECK/dealcards/Kh/OOP_CHECK/IP_BET_6/OOP_RAISE_17/IP_CALL/dealcards/6h/OOP_CHECK/IP_BET_29,River,"['Fold', 'Call', 'Raise 81']",68,OOP,AhJc,Raise 81
6313,CO/2.3bb/BTN/call,5c2d3h,Ad,Td,OOP,OOP_CHECK/IP_CHECK/dealcards/Ad/OOP_BET_8/IP_CALL/dealcards/Td/OOP_CHECK/IP_BET_17,River,"['Fold', 'Call', 'Raise 54', 'Raise 89']",39,OOP,9d7d,Raise 89
6314,BTN/2.5bb/BB/call,8h8cTc,As,Qd,OOP,OOP_CHECK/IP_CHECK/dealcards/As/OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/Qd/OOP_BET_7,River,"['Fold', 'Call', 'Raise 25']",20,IP,AhJd,Call
6315,BTN/2.5bb/BB/call,5c5dAh,5s,8c,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/5s/OOP_CHECK,Turn,"['Check', 'Bet 7', 'Bet 11']",9,IP,Jc9h,Check
6316,UTG/2.0bb/BB/call,JsKs5d,8h,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/8h/OOP_BET_5/IP_CALL/dealcards/3c/OOP_BET_7,River,"['Fold', 'Call', 'Raise 25']",21,IP,JhJd,Raise 25
6317,UTG/2.0bb/HJ/6.5bb/UTG/call,QcAdKh,Ts,Tc,IP,OOP_CHECK/IP_BET_3/OOP_CALL/dealcards/Ts/OOP_CHECK,Turn,"['Check', 'Bet 12', 'Bet 22']",20,IP,JhJc,Bet 22
6318,UTG/2.0bb/BB/call,Ks7h2d,6h,Th,OOP,OOP_CHECK/IP_BET_1/OOP_CALL/dealcards/6h/OOP_CHECK/IP_BET_8/OOP_RAISE_23/IP_CALL/dealcards/Th/OOP_BET_26/IP_RAISE_74,River,"['Fold', 'Call']",151,OOP,5h3h,Call
6319,UTG/2.0bb/BTN/call,Ad9h8h,3s,2h,OOP,OOP_BET_4/IP_CALL/dealcards/3s/OOP_BET_10/IP_CALL/dealcards/2h/OOP_BET_17,River,"['Fold', 'Call', 'Raise 84']",46,IP,KsJs,Fold
6320,HJ/2.0bb/BTN/call,Td6h4h,Kh,2h,OOP,OOP_BET_4/IP_RAISE_13/OOP_CALL/dealcards/Kh/OOP_BET_23/IP_RAISE_85,Turn,"['Fold', 'Call']",139,OOP,KdJh,Fold
6321,BTN/2.5bb/BB/call,QcAdKh,Ts,Tc,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/Ts/OOP_CHECK/IP_BET_16/OOP_CALL/dealcards/Tc/OOP_CHECK,River,"['Check', 'Bet 34']",41,IP,Qs9s,Check
6322,HJ/2.0bb/BTN/call,JsKs5d,8h,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/8h/OOP_BET_4/IP_CALL/dealcards/3c/OOP_BET_7/IP_RAISE_25,River,"['Fold', 'Call', 'Raise 67', 'Raise 94']",45,OOP,Kc6c,Fold
6323,UTG/2.0bb/BB/call,Js8d3c,Kd,8h,OOP,OOP_BET_1/IP_RAISE_5/OOP_CALL/dealcards/Kd/OOP_CHECK/IP_BET_11,Turn,"['Fold', 'Call', 'Raise 35']",25,OOP,KhTh,Call
6324,UTG/2.0bb/BTN/call,Qc8cAc,3c,Qh,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/3c/OOP_CHECK,Turn,"['Check', 'Bet 7', 'Bet 11']",9,IP,7s7c,Check
6325,BTN/2.5bb/BB/call,6s8d7c,Js,Ac,OOP,OOP_CHECK,Flop,"['Check', 'Bet 2']",5,IP,Qs9d,Bet 2
6326,SB/3.0bb/BB/call,Js8d3c,9d,2h,OOP,OOP_CHECK/IP_CHECK/dealcards/9d/OOP_BET_5/IP_RAISE_16/OOP_CALL/dealcards/2h/OOP_CHECK/IP_BET_29/OOP_RAISE_81,River,"['Fold', 'Call']",148,IP,As9s,Fold
6327,BTN/2.5bb/BB/call,Th3s2d,Ac,Qc,OOP,OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/Ac/OOP_CHECK/IP_BET_10/OOP_RAISE_32/IP_CALL/dealcards/Qc/OOP_CHECK,River,"['Check', 'Raise 61']",73,IP,As8d,Check
6328,BTN/2.5bb/BB/call,QcAdKh,3d,8c,OOP,OOP_CHECK/IP_BET_4/OOP_RAISE_13/IP_CALL/dealcards/3d/OOP_CHECK,Turn,"['Check', 'Bet 23', 'Bet 39']",31,IP,Ac8c,Check
6329,UTG/2.0bb/BB/call,Js8d3c,9d,2h,OOP,OOP_CHECK/IP_CHECK/dealcards/9d/OOP_CHECK/IP_BET_3/OOP_RAISE_10/IP_CALL/dealcards/2h/OOP_CHECK/IP_BET_18,River,"['Fold', 'Call', 'Raise 58', 'Raise 88']",42,OOP,AdQc,Call
6330,SB/3.0bb/BB/call,6s8d7c,9s,Kc,OOP,OOP_CHECK/IP_CHECK/dealcards/9s/OOP_CHECK/IP_CHECK/dealcards/Kc/OOP_CHECK,River,"['Check', 'Bet 5']",6,IP,Qc3c,Bet 5
6331,HJ/2.0bb/SB/11.0bb/HJ/call,5c2d3h,Td,Qc,IP,OOP_CHECK/IP_CHECK/dealcards/Td/OOP_CHECK/IP_BET_25/OOP_RAISE_50,Turn,"['Fold', 'Call', 'Raise 89']",98,IP,JsJd,Call
6332,HJ/2.0bb/BB/call,Js8d3c,Kd,8h,OOP,OOP_CHECK/IP_BET_1/OOP_CALL/dealcards/Kd/OOP_BET_8/IP_CALL/dealcards/8h/OOP_BET_11,River,"['Fold', 'Call', 'Raise 40']",32,IP,AdTs,Fold
6333,BTN/2.5bb/BB/call,Qc8cAc,3c,Ah,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/3c/OOP_CHECK/IP_BET_7/OOP_RAISE_22/IP_CALL/dealcards/Ah/OOP_BET_27,River,"['Fold', 'Call', 'Raise 73']",78,IP,Th9s,Raise 73
6334,HJ/2.0bb/BB/call,9dTs8s,5d,2d,OOP,OOP_CHECK/IP_CHECK/dealcards/5d/OOP_BET_5/IP_CALL/dealcards/2d/OOP_BET_7,River,"['Fold', 'Call', 'Raise 25']",21,IP,Qc9c,Call
6335,BTN/2.5bb/BB/call,Th3s2d,5d,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/5d/OOP_CHECK/IP_BET_6/OOP_CALL/dealcards/3c/OOP_CHECK,River,"['Check', 'Bet 13']",17,IP,AcQh,Check
6336,SB/3.0bb/BB/call,Qc8cAc,Kh,3s,OOP,OOP_CHECK/IP_BET_2/OOP_CALL/dealcards/Kh/OOP_CHECK/IP_CHECK/dealcards/3s/OOP_BET_5,River,"['Fold', 'Call', 'Raise 18']",15,IP,7c5c,Raise 18
6337,UTG/2.0bb/CO/6.5bb/UTG/call,Td6h4h,8d,Qd,IP,OOP_CHECK/IP_BET_3/OOP_RAISE_10/IP_CALL/dealcards/8d/OOP_CHECK,Turn,"['Check', 'Bet 20', 'Bet 37']",34,IP,Ad5d,Check
6338,UTG/2.0bb/HJ/6.5bb/UTG/call,4s4h3h,9s,Kc,IP,OOP_CHECK/IP_BET_7/OOP_RAISE_16/IP_CALL/dealcards/9s/OOP_CHECK,Turn,"['Check', 'Bet 28', 'Bet 51']",46,IP,KhQs,Bet 28
6339,HJ/2.0bb/CO/6.5bb/HJ/call,5c2d3h,Ad,Td,IP,OOP_BET_7/IP_RAISE_16/OOP_CALL/dealcards/Ad/OOP_CHECK,Turn,"['Check', 'Bet 28', 'Bet 51']",46,IP,QcJc,Check
6340,HJ/2.0bb/BB/call,Jh4h5s,2d,Qc,OOP,OOP_CHECK/IP_BET_3/OOP_CALL/dealcards/2d/OOP_CHECK/IP_BET_13,Turn,"['Fold', 'Call', 'Raise 37']",23,OOP,QdTd,Fold
6341,UTG/2.0bb/BTN/7.5bb/UTG/call,8h8cTc,Kc,2h,IP,OOP_CHECK/IP_BET_8/OOP_RAISE_19/IP_CALL/dealcards/Kc/OOP_CHECK,Turn,"['Check', 'Bet 32', 'Raise 73']",54,IP,As8s,Check
6342,HJ/2.0bb/BB/call,7d6c4h,Qs,5s,OOP,OOP_CHECK/IP_BET_1/OOP_CALL/dealcards/Qs/OOP_BET_5/IP_RAISE_16,Turn,"['Fold', 'Call', 'Raise 41']",27,OOP,Qc7c,Call
6343,BTN/2.5bb/BB/call,4s4h3h,Jh,8c,OOP,OOP_CHECK/IP_CHECK/dealcards/Jh/OOP_CHECK/IP_BET_4/OOP_CALL/dealcards/8c/OOP_CHECK,River,"['Check', 'Bet 10']",13,IP,Ad7c,Check
6344,BTN/2.5bb/BB/call,9dTs8s,Jh,3c,OOP,OOP_CHECK/IP_CHECK/dealcards/Jh/OOP_CHECK/IP_BET_6/OOP_CALL/dealcards/3c/OOP_BET_9,River,"['Fold', 'Call', 'Raise 32']",26,IP,Qs7s,Call
